epoch,learning_rate,loss,output_projection_masked_accuracy,val_loss,val_output_projection_masked_accuracy
0,9.999999747378752e-05,10.621459007263184,0.2222832590341568,8.639690399169922,0.307955265045166
1,9.999999747378752e-05,7.974945545196533,0.34041744470596313,7.236671447753906,0.3833109736442566
2,9.999999747378752e-05,6.92865514755249,0.39845892786979675,6.400528430938721,0.43531569838523865
3,9.999999747378752e-05,6.201840400695801,0.4436318576335907,5.720616340637207,0.48170194029808044
4,9.999999747378752e-05,5.636488914489746,0.48287028074264526,5.252565860748291,0.5129289031028748
5,9.999999747378752e-05,5.179986476898193,0.5144830346107483,4.817342758178711,0.543666422367096
6,9.999999747378752e-05,4.814693927764893,0.5403187274932861,4.471278190612793,0.569460391998291
7,9.999999747378752e-05,4.505631923675537,0.5626747608184814,4.176230430603027,0.5938506126403809
8,9.999999747378752e-05,4.244884490966797,0.5820968151092529,3.944413661956787,0.6127592921257019
9,9.999999747378752e-05,4.019958972930908,0.599379301071167,3.75227689743042,0.6265970468521118
10,9.999999747378752e-05,3.8249285221099854,0.6140382289886475,3.602421522140503,0.6376188397407532
11,9.999999747378752e-05,3.659431219100952,0.6268109679222107,3.421149492263794,0.6535283327102661
12,9.999999747378752e-05,3.51358699798584,0.6376074552536011,3.312466621398926,0.6607095003128052
13,9.999999747378752e-05,3.386012554168701,0.6475822329521179,3.1831672191619873,0.6694475412368774
14,9.999999747378752e-05,3.2733652591705322,0.6561009287834167,3.0937507152557373,0.676753580570221
15,9.999999747378752e-05,3.1700971126556396,0.6639711260795593,3.005634069442749,0.6840201020240784
16,9.999999747378752e-05,3.0806102752685547,0.6710020303726196,2.9220564365386963,0.689863383769989
17,9.999999747378752e-05,2.9986047744750977,0.6769276261329651,2.86299729347229,0.6940351724624634
18,9.999999747378752e-05,2.9253649711608887,0.6828422546386719,2.7988243103027344,0.6988376975059509
19,9.999999747378752e-05,2.855689287185669,0.6882891654968262,2.74646258354187,0.7038760781288147
20,9.999999747378752e-05,2.7948195934295654,0.6925191879272461,2.6917836666107178,0.7075467109680176
21,9.999999747378752e-05,2.7371597290039062,0.69729083776474,2.6379270553588867,0.711107075214386
22,9.999999747378752e-05,2.6842458248138428,0.7015114426612854,2.5949442386627197,0.7152911424636841
23,9.999999747378752e-05,2.634530782699585,0.7051800489425659,2.553473711013794,0.7180952429771423
24,9.999999747378752e-05,2.5900955200195312,0.7088627815246582,2.5293610095977783,0.7198377251625061
25,9.999999747378752e-05,2.544872760772705,0.7123476266860962,2.482738494873047,0.7230648994445801
26,9.999999747378752e-05,2.505770444869995,0.7152475714683533,2.4580087661743164,0.725012481212616
27,9.999999747378752e-05,2.469271421432495,0.7186911106109619,2.4217238426208496,0.7289118766784668
28,9.999999747378752e-05,2.432560682296753,0.7211877703666687,2.3995330333709717,0.72992342710495
29,9.999999747378752e-05,2.3982651233673096,0.7240582704544067,2.3713278770446777,0.7322224378585815
30,9.999999747378752e-05,2.365316152572632,0.7265610694885254,2.3514342308044434,0.733957052230835
31,9.999999747378752e-05,2.338428020477295,0.728607714176178,2.3260128498077393,0.7360404133796692
32,9.999999747378752e-05,2.3086209297180176,0.7313065528869629,2.3014566898345947,0.7394720911979675
33,9.999999747378752e-05,2.2815535068511963,0.7338069677352905,2.2771334648132324,0.7395161390304565
34,9.999999747378752e-05,2.2551281452178955,0.7358333468437195,2.262685775756836,0.741367757320404
