Using 2 GPU(s)
 80%|███████████████████████████████████████████████████████████████████████████████████████▉                      | 79999/100000 [2:21:05<35:16,  9.45it/s]
Step=2500 Loss=0.0273 Return=21.98 Epsilon=0.976 FPS=200
Step=5000 Loss=0.0242 Return=23.51 Epsilon=0.951 FPS=169
Step=7500 Loss=0.0278 Return=24.37 Epsilon=0.926 FPS=161
Step=10000 Loss=0.0289 Return=19.82 Epsilon=0.902 FPS=157
Step=12500 Loss=0.0656 Return=22.16 Epsilon=0.877 FPS=155
Step=15000 Loss=0.0723 Return=20.15 Epsilon=0.853 FPS=154
Step=17500 Loss=0.1298 Return=21.58 Epsilon=0.829 FPS=153
Step=20000 Loss=0.0874 Return=21.76 Epsilon=0.804 FPS=154
Step=22500 Loss=0.0933 Return=25.93 Epsilon=0.779 FPS=154
Step=25000 Loss=0.0994 Return=26.18 Epsilon=0.755 FPS=154
Step=27500 Loss=0.1597 Return=28.57 Epsilon=0.730 FPS=154
Step=30000 Loss=0.1337 Return=28.26 Epsilon=0.706 FPS=154
Step=32500 Loss=0.2230 Return=30.74 Epsilon=0.681 FPS=155
Step=35000 Loss=0.2182 Return=32.01 Epsilon=0.657 FPS=154
Step=37500 Loss=0.2512 Return=38.43 Epsilon=0.633 FPS=154
Step=40000 Loss=0.1271 Return=39.59 Epsilon=0.608 FPS=153
Step=42500 Loss=0.1013 Return=48.41 Epsilon=0.584 FPS=153
Step=45000 Loss=0.2490 Return=49.05 Epsilon=0.559 FPS=152
Step=47500 Loss=0.2483 Return=65.16 Epsilon=0.534 FPS=152
Step=50000 Loss=0.1775 Return=59.66 Epsilon=0.510 FPS=152
Step=52500 Loss=0.3375 Return=84.67 Epsilon=0.486 FPS=152
Step=55000 Loss=0.2160 Return=81.30 Epsilon=0.461 FPS=151
Step=57500 Loss=0.1237 Return=99.61 Epsilon=0.436 FPS=151
Step=60000 Loss=0.1222 Return=87.47 Epsilon=0.412 FPS=151
Step=62500 Loss=0.1129 Return=108.22 Epsilon=0.387 FPS=151
Step=65000 Loss=0.1962 Return=100.65 Epsilon=0.363 FPS=151
Step=67500 Loss=0.0759 Return=100.50 Epsilon=0.339 FPS=150
Step=70000 Loss=0.1230 Return=110.18 Epsilon=0.314 FPS=150
Step=72500 Loss=0.1012 Return=116.96 Epsilon=0.289 FPS=151
Step=75000 Loss=0.1067 Return=126.60 Epsilon=0.265 FPS=151
Step=77500 Loss=0.1410 Return=111.77 Epsilon=0.241 FPS=151
Step=80000 Loss=0.0827 Return=112.38 Epsilon=0.216 FPS=151
Step=82500 Loss=0.1472 Return=117.21 Epsilon=0.192 FPS=151
Step=85000 Loss=0.0027 Return=115.81 Epsilon=0.167 FPS=151
Step=87500 Loss=0.1557 Return=127.43 Epsilon=0.143 FPS=151
Step=90000 Loss=0.2138 Return=124.41 Epsilon=0.118 FPS=151
Step=92500 Loss=0.0677 Return=136.42 Epsilon=0.094 FPS=151
Step=95000 Loss=0.2280 Return=128.76 Epsilon=0.069 FPS=151
Step=97500 Loss=0.0703 Return=141.19 Epsilon=0.044 FPS=151
Step=100000 Loss=0.0363 Return=132.77 Epsilon=0.020 FPS=150
