Using 2 GPU(s)
 32%|██████████████████████████████████▌                                                                         | 79999/250000 [3:58:36<9:04:48,  5.20it/s]
Step=87500 Loss=0.1127 Return=-486.98 Epsilon=0.100 FPS=89
Step=90000 Loss=0.0039 Return=-498.39 Epsilon=0.100 FPS=89
Step=92500 Loss=0.0012 Return=-495.36 Epsilon=0.100 FPS=88
Step=95000 Loss=0.0009 Return=-491.83 Epsilon=0.100 FPS=89
Step=97500 Loss=0.1264 Return=-481.39 Epsilon=0.100 FPS=89
Step=100000 Loss=0.1243 Return=-469.74 Epsilon=0.100 FPS=88
Step=102500 Loss=0.1291 Return=-485.27 Epsilon=0.100 FPS=88
Step=105000 Loss=0.1285 Return=-496.76 Epsilon=0.100 FPS=88
Step=107500 Loss=0.0024 Return=-492.13 Epsilon=0.100 FPS=88
Step=110000 Loss=0.1392 Return=-487.37 Epsilon=0.100 FPS=88
Step=112500 Loss=0.0029 Return=-497.14 Epsilon=0.100 FPS=88
Step=115000 Loss=0.1404 Return=-496.31 Epsilon=0.100 FPS=88
Step=117500 Loss=0.1430 Return=-373.88 Epsilon=0.100 FPS=88
Step=120000 Loss=0.4382 Return=-230.09 Epsilon=0.100 FPS=88
Step=122500 Loss=0.2972 Return=-201.58 Epsilon=0.100 FPS=88
Step=125000 Loss=0.4508 Return=-243.84 Epsilon=0.100 FPS=88
Step=127500 Loss=0.3093 Return=-374.21 Epsilon=0.100 FPS=88
Step=130000 Loss=0.4635 Return=-420.51 Epsilon=0.100 FPS=88
Step=132500 Loss=0.3185 Return=-324.26 Epsilon=0.100 FPS=88
Step=135000 Loss=0.0064 Return=-336.61 Epsilon=0.100 FPS=88
Step=137500 Loss=0.0034 Return=-293.87 Epsilon=0.100 FPS=88
Step=140000 Loss=0.0031 Return=-308.20 Epsilon=0.100 FPS=88
Step=142500 Loss=0.1701 Return=-345.61 Epsilon=0.100 FPS=88
Step=145000 Loss=0.1722 Return=-304.91 Epsilon=0.100 FPS=88
Step=147500 Loss=0.1740 Return=-311.48 Epsilon=0.100 FPS=88
Step=150000 Loss=0.1750 Return=-362.14 Epsilon=0.100 FPS=88
Step=152500 Loss=0.1767 Return=-330.52 Epsilon=0.100 FPS=88
Step=155000 Loss=0.1810 Return=-333.20 Epsilon=0.100 FPS=88
Step=157500 Loss=0.1829 Return=-373.14 Epsilon=0.100 FPS=88
Step=160000 Loss=0.3600 Return=-378.24 Epsilon=0.100 FPS=88
Step=162500 Loss=0.5525 Return=-344.22 Epsilon=0.100 FPS=88
Step=165000 Loss=0.1846 Return=-293.14 Epsilon=0.100 FPS=88
Step=167500 Loss=0.3731 Return=-297.12 Epsilon=0.100 FPS=88
Step=170000 Loss=0.0040 Return=-287.33 Epsilon=0.100 FPS=88
Step=172500 Loss=0.0048 Return=-289.71 Epsilon=0.100 FPS=88
Step=175000 Loss=0.1973 Return=-301.23 Epsilon=0.100 FPS=88
Step=177500 Loss=0.0055 Return=-322.71 Epsilon=0.100 FPS=88
Step=180000 Loss=0.0057 Return=-286.10 Epsilon=0.100 FPS=88
Step=182500 Loss=0.2066 Return=-322.75 Epsilon=0.100 FPS=88
Step=185000 Loss=0.0039 Return=-352.28 Epsilon=0.100 FPS=88
Step=187500 Loss=0.2028 Return=-381.92 Epsilon=0.100 FPS=88
Step=190000 Loss=0.2089 Return=-428.41 Epsilon=0.100 FPS=88
Step=192500 Loss=0.0045 Return=-436.14 Epsilon=0.100 FPS=88
Step=195000 Loss=0.2103 Return=-441.10 Epsilon=0.100 FPS=88
Step=197500 Loss=0.0106 Return=-467.34 Epsilon=0.100 FPS=88
Step=200000 Loss=0.2139 Return=-456.96 Epsilon=0.100 FPS=88
Step=202500 Loss=0.0040 Return=-471.52 Epsilon=0.100 FPS=88
Step=205000 Loss=0.0053 Return=-434.22 Epsilon=0.100 FPS=88
Step=207500 Loss=0.4349 Return=-445.95 Epsilon=0.100 FPS=88
Step=210000 Loss=0.0047 Return=-474.38 Epsilon=0.100 FPS=88
Step=212500 Loss=0.0034 Return=-485.98 Epsilon=0.100 FPS=88
Step=215000 Loss=0.2221 Return=-497.40 Epsilon=0.100 FPS=88
Step=217500 Loss=0.0029 Return=-500.00 Epsilon=0.100 FPS=88
Step=220000 Loss=0.0035 Return=-500.00 Epsilon=0.100 FPS=88
Step=222500 Loss=0.0012 Return=-493.13 Epsilon=0.100 FPS=88
Step=225000 Loss=0.0017 Return=-468.17 Epsilon=0.100 FPS=88
Step=227500 Loss=0.0029 Return=-481.88 Epsilon=0.100 FPS=88
Step=230000 Loss=0.2306 Return=-475.62 Epsilon=0.100 FPS=88
Step=232500 Loss=0.0028 Return=-490.61 Epsilon=0.100 FPS=88
Step=235000 Loss=0.4827 Return=-490.45 Epsilon=0.100 FPS=88
Step=237500 Loss=0.2354 Return=-439.11 Epsilon=0.100 FPS=88
Step=240000 Loss=0.2350 Return=-386.13 Epsilon=0.100 FPS=88
Step=242500 Loss=0.2388 Return=-336.39 Epsilon=0.100 FPS=87
Step=245000 Loss=0.0044 Return=-373.84 Epsilon=0.100 FPS=87
Step=247500 Loss=0.0035 Return=-441.36 Epsilon=0.100 FPS=87
Step=250000 Loss=0.0037 Return=-358.60 Epsilon=0.100 FPS=88
