Using 2 GPU(s)
 23%|█████████████████████████▍                                                                                    | 23135/100000 [39:52<2:19:12,  9.20it/s][34m[1mwandb[0m: [32m[41mERROR[0m Error while calling W&B API: context deadline exceeded (<Response [500]>)
Step=2500 Loss=0.0249 Return=21.25 Epsilon=0.953 FPS=201
Step=5000 Loss=0.0320 Return=18.81 Epsilon=0.905 FPS=170
Step=7500 Loss=0.0596 Return=22.38 Epsilon=0.858 FPS=161
Step=10000 Loss=0.0360 Return=26.69 Epsilon=0.810 FPS=157
Step=12500 Loss=0.1911 Return=27.11 Epsilon=0.762 FPS=156
Step=15000 Loss=0.2191 Return=29.24 Epsilon=0.715 FPS=158
Step=17500 Loss=0.0476 Return=32.90 Epsilon=0.667 FPS=157
Step=20000 Loss=0.1808 Return=62.18 Epsilon=0.620 FPS=156
Step=22500 Loss=0.1669 Return=71.64 Epsilon=0.573 FPS=154
 24%|██████████████████████████▉                                                                                   | 24433/100000 [42:12<2:10:41,  9.64it/s][34m[1mwandb[0m: [32m[41mERROR[0m Error while calling W&B API: context deadline exceeded (<Response [500]>)
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 100000/100000 [2:57:10<00:00,  9.41it/s]
Step=25000 Loss=0.1818 Return=66.30 Epsilon=0.525 FPS=154
Step=27500 Loss=0.0657 Return=88.26 Epsilon=0.478 FPS=154
Step=30000 Loss=0.0834 Return=82.32 Epsilon=0.430 FPS=154
Step=32500 Loss=0.1587 Return=99.46 Epsilon=0.383 FPS=154
Step=35000 Loss=0.0072 Return=114.22 Epsilon=0.335 FPS=153
Step=37500 Loss=0.0111 Return=96.42 Epsilon=0.288 FPS=153
Step=40000 Loss=0.5774 Return=112.48 Epsilon=0.240 FPS=152
Step=42500 Loss=0.2086 Return=102.20 Epsilon=0.193 FPS=152
Step=45000 Loss=0.1078 Return=112.68 Epsilon=0.145 FPS=152
Step=47500 Loss=0.1191 Return=104.75 Epsilon=0.098 FPS=151
Step=50000 Loss=0.2377 Return=132.88 Epsilon=0.050 FPS=151
Step=52500 Loss=0.2470 Return=133.33 Epsilon=0.050 FPS=151
Step=55000 Loss=0.0012 Return=123.48 Epsilon=0.050 FPS=151
Step=57500 Loss=0.0006 Return=129.33 Epsilon=0.050 FPS=150
Step=60000 Loss=0.2737 Return=101.14 Epsilon=0.050 FPS=150
Step=62500 Loss=0.2837 Return=122.04 Epsilon=0.050 FPS=150
Step=65000 Loss=0.0066 Return=93.59 Epsilon=0.050 FPS=150
Step=67500 Loss=0.1558 Return=54.79 Epsilon=0.050 FPS=151
Step=70000 Loss=0.3130 Return=97.95 Epsilon=0.050 FPS=151
Step=72500 Loss=0.1740 Return=109.94 Epsilon=0.050 FPS=151
Step=75000 Loss=0.0052 Return=140.75 Epsilon=0.050 FPS=150
Step=77500 Loss=0.0010 Return=133.10 Epsilon=0.050 FPS=150
Step=80000 Loss=0.1755 Return=119.79 Epsilon=0.050 FPS=151
Step=82500 Loss=0.0033 Return=95.26 Epsilon=0.050 FPS=151
Step=85000 Loss=0.1843 Return=154.70 Epsilon=0.050 FPS=151
Step=87500 Loss=0.0012 Return=148.19 Epsilon=0.050 FPS=150
Step=90000 Loss=0.3784 Return=133.46 Epsilon=0.050 FPS=150
Step=92500 Loss=0.1917 Return=132.98 Epsilon=0.050 FPS=150
Step=95000 Loss=0.0044 Return=128.40 Epsilon=0.050 FPS=150
Step=97500 Loss=0.2025 Return=117.72 Epsilon=0.050 FPS=150
Step=100000 Loss=0.4030 Return=131.25 Epsilon=0.050 FPS=150
