epoch,learning_rate,loss,masked_accuracy,val_loss,val_masked_accuracy
0,0.0010000000474974513,9.896453857421875,0.21190188825130463,9.15749454498291,0.23424693942070007
1,0.0010000000474974513,8.896528244018555,0.2406245619058609,8.910439491271973,0.24095754325389862
2,0.0010000000474974513,8.576476097106934,0.24821993708610535,8.83187484741211,0.2437446266412735
3,0.0010000000474974513,8.354710578918457,0.25353243947029114,8.821166038513184,0.2453320026397705
4,0.0010000000474974513,8.175434112548828,0.2582384943962097,8.841443061828613,0.24515444040298462
5,0.0010000000474974513,8.020564079284668,0.2625502049922943,8.883179664611816,0.2450266033411026
6,0.0010000000474974513,7.883596420288086,0.2668648660182953,8.94155216217041,0.24405670166015625
7,0.0010000000474974513,7.757577419281006,0.2715158462524414,9.015843391418457,0.24265852570533752
8,0.0010000000474974513,7.640581130981445,0.2757989466190338,9.090576171875,0.24106185138225555
9,0.0009000000427477062,7.493157863616943,0.282607764005661,9.177207946777344,0.239854633808136
10,0.0009000000427477062,7.386187553405762,0.2874966561794281,9.261375427246094,0.23818711936473846
11,0.0009000000427477062,7.285459995269775,0.292339950799942,9.356635093688965,0.2352498471736908
12,0.0009000000427477062,7.187098503112793,0.29729151725769043,9.462776184082031,0.2337692677974701
13,0.0009000000427477062,7.091840744018555,0.30275675654411316,9.569822311401367,0.23066166043281555
14,0.0008100000559352338,6.957536220550537,0.3109942078590393,9.699563980102539,0.22788427770137787
15,0.0008100000559352338,6.865664958953857,0.31654971837997437,9.809061050415039,0.226760596036911
16,0.0008100000559352338,6.781933307647705,0.3216376006603241,9.930359840393066,0.22467714548110962
17,0.0008100000559352338,6.701101303100586,0.3271448016166687,10.033193588256836,0.22029517590999603
18,0.0008100000559352338,6.623033046722412,0.3324633240699768,10.147411346435547,0.21886558830738068
19,0.0007290000794455409,6.505845546722412,0.340776264667511,10.30847454071045,0.21645964682102203
20,0.0007290000794455409,6.427550792694092,0.34676679968833923,10.437442779541016,0.21437273919582367
21,0.0007290000794455409,6.361484050750732,0.35123223066329956,10.562420845031738,0.21165892481803894
22,0.0007290000794455409,6.295690536499023,0.3563002943992615,10.654255867004395,0.21037842333316803
23,0.0007290000794455409,6.234763145446777,0.36071839928627014,10.753170013427734,0.20864129066467285
24,0.0006561000482179224,6.131003379821777,0.36937251687049866,10.936458587646484,0.2054518759250641
25,0.0006561000482179224,6.065262794494629,0.3747604787349701,11.033374786376953,0.20222415030002594
26,0.0006561000482179224,6.01271915435791,0.37893146276474,11.166613578796387,0.2029953896999359
27,0.0006561000482179224,5.9618682861328125,0.38290151953697205,11.288873672485352,0.19817587733268738
28,0.0006561000482179224,5.912715911865234,0.3868730366230011,11.396843910217285,0.19767512381076813
29,0.0005904900608584285,5.821065902709961,0.395058810710907,11.53494930267334,0.195891335606575
30,0.0005904900608584285,5.764488220214844,0.4002057611942291,11.674220085144043,0.19484248757362366
31,0.0005904900608584285,5.722804069519043,0.4034886956214905,11.77084732055664,0.19192881882190704
32,0.0005904900608584285,5.6828765869140625,0.406949907541275,11.914411544799805,0.19319528341293335
33,0.0005904900608584285,5.640326023101807,0.4105158746242523,11.996979713439941,0.19035515189170837
34,0.0005314410664141178,5.560622692108154,0.41815677285194397,12.142339706420898,0.1877025067806244
