Using 2 GPU(s)
 32%|██████████████████████████████████▌                                                                         | 79999/250000 [3:58:19<8:47:49,  5.37it/s]
Step=2500 Loss=0.0019 Return=-200.00 Epsilon=0.955 FPS=289
Step=5000 Loss=0.0038 Return=-200.00 Epsilon=0.910 FPS=136
Step=7500 Loss=0.0184 Return=-200.00 Epsilon=0.865 FPS=113
Step=10000 Loss=0.0253 Return=-200.00 Epsilon=0.820 FPS=104
Step=12500 Loss=0.1355 Return=-200.00 Epsilon=0.775 FPS=100
Step=15000 Loss=0.0019 Return=-200.00 Epsilon=0.730 FPS=99
Step=17500 Loss=0.0001 Return=-200.00 Epsilon=0.685 FPS=97
Step=20000 Loss=0.1618 Return=-200.00 Epsilon=0.640 FPS=95
Step=22500 Loss=0.2474 Return=-200.00 Epsilon=0.595 FPS=94
Step=25000 Loss=0.0003 Return=-200.00 Epsilon=0.550 FPS=93
Step=27500 Loss=0.0000 Return=-200.00 Epsilon=0.505 FPS=92
Step=30000 Loss=0.0019 Return=-200.00 Epsilon=0.460 FPS=92
Step=32500 Loss=0.1723 Return=-200.00 Epsilon=0.415 FPS=92
Step=35000 Loss=0.3551 Return=-200.00 Epsilon=0.370 FPS=92
Step=37500 Loss=0.1926 Return=-200.00 Epsilon=0.325 FPS=91
Step=40000 Loss=0.2024 Return=-200.00 Epsilon=0.280 FPS=91
Step=42500 Loss=0.2120 Return=-200.00 Epsilon=0.235 FPS=91
Step=45000 Loss=0.2227 Return=-200.00 Epsilon=0.190 FPS=91
Step=47500 Loss=0.1128 Return=-200.00 Epsilon=0.145 FPS=90
Step=50000 Loss=0.1192 Return=-200.00 Epsilon=0.100 FPS=90
Step=52500 Loss=0.2440 Return=-200.00 Epsilon=0.100 FPS=90
Step=55000 Loss=0.2450 Return=-200.00 Epsilon=0.100 FPS=90
Step=57500 Loss=0.1283 Return=-200.00 Epsilon=0.100 FPS=90
Step=60000 Loss=0.2557 Return=-200.00 Epsilon=0.100 FPS=89
Step=62500 Loss=0.2656 Return=-200.00 Epsilon=0.100 FPS=89
Step=65000 Loss=0.1337 Return=-200.00 Epsilon=0.100 FPS=90
Step=67500 Loss=0.2742 Return=-200.00 Epsilon=0.100 FPS=89
Step=70000 Loss=0.1403 Return=-200.00 Epsilon=0.100 FPS=89
Step=72500 Loss=0.0025 Return=-200.00 Epsilon=0.100 FPS=89
Step=75000 Loss=0.0056 Return=-200.00 Epsilon=0.100 FPS=89
Step=77500 Loss=0.2955 Return=-200.00 Epsilon=0.100 FPS=89
Step=80000 Loss=0.2994 Return=-200.00 Epsilon=0.100 FPS=89
Step=82500 Loss=0.4500 Return=-200.00 Epsilon=0.100 FPS=89
Step=85000 Loss=0.3051 Return=-200.00 Epsilon=0.100 FPS=89
Step=87500 Loss=0.0029 Return=-200.00 Epsilon=0.100 FPS=89
Step=90000 Loss=0.6213 Return=-200.00 Epsilon=0.100 FPS=89
Step=92500 Loss=0.0041 Return=-200.00 Epsilon=0.100 FPS=89
Step=95000 Loss=0.0003 Return=-200.00 Epsilon=0.100 FPS=89
