Using 2 GPU(s)
 80%|███████████████████████████████████████████████████████████████████████████████████████▉                      | 79998/100000 [2:20:35<36:39,  9.10it/s]
Step=2500 Loss=0.0284 Return=19.29 Epsilon=0.967 FPS=202
Step=5000 Loss=0.0269 Return=22.35 Epsilon=0.935 FPS=170
Step=7500 Loss=0.0345 Return=21.34 Epsilon=0.902 FPS=165
Step=10000 Loss=0.0302 Return=19.64 Epsilon=0.869 FPS=166
Step=12500 Loss=0.0347 Return=21.46 Epsilon=0.837 FPS=161
Step=15000 Loss=0.0810 Return=25.78 Epsilon=0.804 FPS=159
Step=17500 Loss=0.1067 Return=24.21 Epsilon=0.771 FPS=157
Step=20000 Loss=0.0878 Return=24.78 Epsilon=0.739 FPS=156
Step=22500 Loss=0.0836 Return=27.08 Epsilon=0.706 FPS=155
Step=25000 Loss=0.0807 Return=29.04 Epsilon=0.673 FPS=155
Step=27500 Loss=0.2102 Return=30.50 Epsilon=0.641 FPS=155
Step=30000 Loss=0.2114 Return=29.43 Epsilon=0.608 FPS=155
Step=32500 Loss=0.2218 Return=29.10 Epsilon=0.575 FPS=154
Step=35000 Loss=0.2292 Return=33.86 Epsilon=0.543 FPS=153
Step=37500 Loss=0.1426 Return=47.98 Epsilon=0.510 FPS=153
Step=40000 Loss=0.0516 Return=51.53 Epsilon=0.477 FPS=152
Step=42500 Loss=0.1104 Return=67.75 Epsilon=0.445 FPS=152
Step=45000 Loss=0.1724 Return=73.27 Epsilon=0.412 FPS=152
Step=47500 Loss=0.1094 Return=103.45 Epsilon=0.379 FPS=152
Step=50000 Loss=0.1288 Return=108.70 Epsilon=0.347 FPS=151
Step=52500 Loss=0.0787 Return=115.27 Epsilon=0.314 FPS=151
Step=55000 Loss=0.1160 Return=111.16 Epsilon=0.281 FPS=151
Step=57500 Loss=0.0438 Return=128.74 Epsilon=0.249 FPS=151
Step=60000 Loss=0.0814 Return=137.18 Epsilon=0.216 FPS=151
Step=62500 Loss=0.0933 Return=119.26 Epsilon=0.183 FPS=152
Step=65000 Loss=0.0918 Return=125.22 Epsilon=0.151 FPS=151
Step=67500 Loss=0.0984 Return=97.85 Epsilon=0.118 FPS=151
Step=70000 Loss=0.0484 Return=114.40 Epsilon=0.085 FPS=151
Step=72500 Loss=0.0567 Return=109.01 Epsilon=0.053 FPS=151
Step=75000 Loss=0.1074 Return=100.52 Epsilon=0.020 FPS=151
Step=77500 Loss=0.2164 Return=97.92 Epsilon=0.020 FPS=151
Step=80000 Loss=0.2161 Return=99.18 Epsilon=0.020 FPS=151
Step=82500 Loss=0.3494 Return=120.90 Epsilon=0.020 FPS=151
Step=85000 Loss=0.3462 Return=121.40 Epsilon=0.020 FPS=151
Step=87500 Loss=0.1272 Return=112.45 Epsilon=0.020 FPS=151
Step=90000 Loss=0.0633 Return=120.27 Epsilon=0.020 FPS=151
Step=92500 Loss=0.0707 Return=131.30 Epsilon=0.020 FPS=151
Step=95000 Loss=0.1976 Return=129.07 Epsilon=0.020 FPS=151
Step=97500 Loss=0.3461 Return=138.24 Epsilon=0.020 FPS=150
Step=100000 Loss=0.1394 Return=144.95 Epsilon=0.020 FPS=150
