Using 2 GPU(s)
/home/shuvrajeet/miniconda3/envs/research/lib/python3.12/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  3%|██▊                                                                                                      | 79999/3000000 [3:17:00<276:54:55,  2.93it/s]
Step=2500 Loss=0.0000 Return=-195.73 Epsilon=0.760 FPS=3876
Step=5000 Loss=0.0000 Return=-190.67 Epsilon=0.520 FPS=3904
Step=7500 Loss=0.0000 Return=-200.93 Epsilon=0.280 FPS=3928
Step=10000 Loss=0.0000 Return=-242.53 Epsilon=0.100 FPS=3943
Step=12500 Loss=0.0000 Return=-200.03 Epsilon=0.100 FPS=3947
Step=15000 Loss=0.0000 Return=-238.72 Epsilon=0.100 FPS=3948
Step=17500 Loss=0.0000 Return=-219.24 Epsilon=0.100 FPS=3948
Step=20000 Loss=0.0000 Return=-209.11 Epsilon=0.100 FPS=3950
Step=22500 Loss=0.0000 Return=-207.36 Epsilon=0.100 FPS=3943
Step=25000 Loss=0.0000 Return=-227.52 Epsilon=0.100 FPS=3933
Step=27500 Loss=0.0000 Return=-245.51 Epsilon=0.100 FPS=3924
Step=30000 Loss=0.0000 Return=-248.24 Epsilon=0.100 FPS=3916
Step=32500 Loss=0.0000 Return=-255.92 Epsilon=0.100 FPS=3909
Step=35000 Loss=0.0000 Return=-213.31 Epsilon=0.100 FPS=3903
Step=37500 Loss=0.0000 Return=-227.20 Epsilon=0.100 FPS=3897
Step=40000 Loss=0.0000 Return=-211.80 Epsilon=0.100 FPS=3892
Step=42500 Loss=0.0000 Return=-248.38 Epsilon=0.100 FPS=3889
Step=45000 Loss=0.0000 Return=-223.76 Epsilon=0.100 FPS=3885
Step=47500 Loss=0.0000 Return=-230.19 Epsilon=0.100 FPS=3882
Step=50000 Loss=0.0000 Return=-235.95 Epsilon=0.100 FPS=3880
Step=52500 Loss=0.8474 Return=-82.00 Epsilon=0.100 FPS=2686
Step=55000 Loss=0.8062 Return=-7.84 Epsilon=0.100 FPS=2101
Step=57500 Loss=0.8205 Return=-40.26 Epsilon=0.100 FPS=1747
Step=60000 Loss=0.3868 Return=-68.41 Epsilon=0.100 FPS=1521
Step=62500 Loss=0.3857 Return=-57.33 Epsilon=0.100 FPS=1360
Step=65000 Loss=0.3161 Return=-49.97 Epsilon=0.100 FPS=1234
Step=67500 Loss=0.4449 Return=-48.96 Epsilon=0.100 FPS=1136
Step=70000 Loss=0.6710 Return=-58.23 Epsilon=0.100 FPS=1063
Step=72500 Loss=0.6675 Return=-33.07 Epsilon=0.100 FPS=999
Step=75000 Loss=0.4600 Return=-50.30 Epsilon=0.100 FPS=946
Step=77500 Loss=0.3992 Return=-8.44 Epsilon=0.100 FPS=905
Step=80000 Loss=0.3516 Return=7.63 Epsilon=0.100 FPS=866
Step=82500 Loss=0.5628 Return=50.01 Epsilon=0.100 FPS=832
Step=85000 Loss=0.2820 Return=74.24 Epsilon=0.100 FPS=804
Step=87500 Loss=0.3572 Return=109.45 Epsilon=0.100 FPS=779
Step=90000 Loss=0.3096 Return=114.95 Epsilon=0.100 FPS=756
Step=92500 Loss=0.2705 Return=124.46 Epsilon=0.100 FPS=736
Step=95000 Loss=0.4232 Return=157.55 Epsilon=0.100 FPS=719
Step=97500 Loss=0.1961 Return=150.57 Epsilon=0.100 FPS=702
Step=100000 Loss=0.1839 Return=136.52 Epsilon=0.100 FPS=686
Step=102500 Loss=0.1471 Return=110.18 Epsilon=0.100 FPS=674
Step=105000 Loss=0.3867 Return=129.07 Epsilon=0.100 FPS=661
Step=107500 Loss=0.2876 Return=118.73 Epsilon=0.100 FPS=649
Step=110000 Loss=0.1728 Return=114.83 Epsilon=0.100 FPS=639
Step=112500 Loss=0.2966 Return=94.06 Epsilon=0.100 FPS=629
Step=115000 Loss=0.2148 Return=97.50 Epsilon=0.100 FPS=620
Step=117500 Loss=0.1838 Return=102.42 Epsilon=0.100 FPS=612
Step=120000 Loss=0.1399 Return=117.24 Epsilon=0.100 FPS=604
Step=122500 Loss=0.2131 Return=124.56 Epsilon=0.100 FPS=596
Step=125000 Loss=0.1944 Return=128.67 Epsilon=0.100 FPS=589
Step=127500 Loss=0.1414 Return=133.27 Epsilon=0.100 FPS=583
Step=130000 Loss=0.4309 Return=132.35 Epsilon=0.100 FPS=577
Step=132500 Loss=0.3889 Return=103.12 Epsilon=0.100 FPS=571
Step=135000 Loss=0.2480 Return=100.17 Epsilon=0.100 FPS=566
Step=137500 Loss=0.1558 Return=105.57 Epsilon=0.100 FPS=561
Step=140000 Loss=0.1504 Return=85.82 Epsilon=0.100 FPS=556
Step=142500 Loss=0.2706 Return=103.97 Epsilon=0.100 FPS=551
Step=145000 Loss=0.1862 Return=154.06 Epsilon=0.100 FPS=547
Step=147500 Loss=0.4738 Return=152.23 Epsilon=0.100 FPS=543
Step=150000 Loss=0.1889 Return=148.46 Epsilon=0.100 FPS=539
Step=152500 Loss=0.2510 Return=124.78 Epsilon=0.100 FPS=535
Step=155000 Loss=0.3459 Return=108.42 Epsilon=0.100 FPS=531
Step=157500 Loss=0.3297 Return=114.70 Epsilon=0.100 FPS=528
